nse_symbol,security_names,first_snapshot,last_snapshot,snapshot_count,original_yahoo_ticker,original_yahoo_status,resolved_ticker,resolution_status,notes,resolved_download_status,resolved_price_rows
SUNPHARMA,Sun Pharmaceutical Industries Ltd. | SUNPHARMA,2010-01-31,2019-12-31,119,SUNPHARMA.NS,ok,SUNPHARMA.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
SUZLON,Suzlon Energy Ltd.,2010-01-31,2011-02-28,14,SUZLON.NS,ok,SUZLON.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
TATAPOWER,Tata Power Co. Ltd. | TATAPOWER,2010-01-31,2017-08-31,92,TATAPOWER.NS,ok,TATAPOWER.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
TATASTEEL,Tata Steel Ltd. | TATASTEEL,2010-01-31,2019-12-31,119,TATASTEEL.NS,ok,TATASTEEL.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
TCS,Tata Consultancy Services Ltd. | TCS,2010-01-31,2019-12-31,119,TCS.NS,ok,TCS.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
TECHM,Tech Mahindra Ltd.,2014-03-31,2019-12-31,69,TECHM.NS,ok,TECHM.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
TITAN,Titan Company Ltd.,2018-04-30,2019-12-31,20,TITAN.NS,ok,TITAN.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
ULTRACEMCO,UltraTech Cement Ltd.,2012-09-30,2019-12-31,87,ULTRACEMCO.NS,ok,ULTRACEMCO.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
UNITECH,Unitech Ltd.,2010-01-31,2010-09-30,9,UNITECH.NS,ok,UNITECH.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
UPL,UPL Ltd.,2017-09-30,2019-12-31,27,UPL.NS,ok,UPL.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
VEDL,Vedanta Ltd.,2015-05-31,2019-12-31,42,VEDL.NS,ok,VEDL.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
WIPRO,Wipro Ltd. | WIPRO,2010-01-31,2019-12-31,114,WIPRO.NS,ok,WIPRO.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
YESBANK,Yes Bank Ltd.,2015-03-31,2019-12-31,57,YESBANK.NS,ok,YESBANK.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
ZEEL,Zee Entertainment Enterprises Ltd.,2014-09-30,2019-12-31,63,ZEEL.NS,ok,ZEEL.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
CAIRN,Cairn India Ltd. | CAIRN,2010-01-31,2016-03-31,75,CAIRN.NS,all_null,,unresolved,Cairn India later merged into Vedanta; Yahoo does not expose a clean standalone current-history ticker.,,0
HDFC,Housing Development Finance Corporation Ltd. | HDFC,2010-01-31,2019-12-31,119,HDFC.NS,all_null,,unresolved,HDFC Ltd. later merged into HDFC Bank; Yahoo no longer exposes the legacy standalone line cleanly.,,0
IDFC,Infrastructure Development Finance Co. Ltd. | IDFC | IDFC Ltd.,2010-01-31,2015-04-30,64,IDFC.NS,all_null,,unresolved,IDFC Ltd. later restructured/merged; Yahoo does not expose a clean legacy same-entity ticker.,,0
RANBAXY,Ranbaxy Laboratories Ltd. | RANBAXY,2010-01-31,2014-02-28,50,RANBAXY.NS,all_null,,unresolved,Ranbaxy was acquired by Sun Pharma; there is no clean standalone continuation ticker on Yahoo.,,0
SESAGOA,Sesa Goa Ltd. | SESAGOA,2010-10-31,2013-09-30,35,SESAGOA.NS,all_null,,unresolved,Sesa Goa is a pre-merger predecessor of Sesa Sterlite/Vedanta and cannot be mapped one-to-one.,,0
STER,Sterlite Industries (India) Ltd. | STER,2010-01-31,2012-08-31,32,STER.NS,all_null,,unresolved,Sterlite Industries is a pre-merger predecessor of Sesa Sterlite/Vedanta and cannot be mapped one-to-one.,,0
TATAMOTORS,Tata Motors Ltd. | TATAMOTORS,2010-01-31,2019-12-31,119,TATAMOTORS.NS,all_null,,unresolved,"Yahoo quote pages exist, but the chart API did not return a usable historical series during this fetch.",,0
TATAMTRDVR,Tata Motors Ltd DVR,2016-04-30,2017-08-31,17,TATAMTRDVR.NS,all_null,,unresolved,Tata Motors DVR class shares are no longer available as a clean Yahoo historical series.,,0
