date,current_logret,mu,sigma,sigma_model,drift,realized_sigma_20d
2010-09-21,0.004770785,-0.0024811125,0.009343957,0.0035405592,-0.0072518974,0.00892014051332597
2010-09-22,-0.003008291,-0.00577803,0.008830637,0.0033460548,-0.0027697396,0.008705619937043333
2010-09-23,-0.005263401,0.008580603,0.009592648,0.0036347916,0.013844004,0.0085383224406331
2010-09-24,0.009809853,0.0026850712,0.008430682,0.0031945063,-0.007124781,0.008615122146047158
2010-09-27,0.002878743,-0.0015475827,0.007417325,0.0028105308,-0.004426325,0.007601960830624663
2010-09-28,-0.001019449,-0.0072157104,0.0074888044,0.0028376153,-0.0061962614,0.007684888615342378
2010-09-29,-0.006355704,0.006065632,0.0076879547,0.0029130762,0.012421336,0.007941363285765748
2010-09-30,0.006430367,0.017098477,0.007655355,0.0029007238,0.010668111,0.007746118023225708
2010-10-01,0.018639568,0.002750021,0.008303452,0.003146297,-0.015889546,0.00831022151354248
2010-10-04,0.002609201,-0.001421012,0.008430562,0.0031944609,-0.0040302128,0.00818611386962271
2010-10-05,-0.00221863,0.006514753,0.008325351,0.003154595,0.008733383,0.007878803895860455
2010-10-06,0.006592558,-0.011603922,0.007979526,0.003023557,-0.018196478,0.007888351749411352
2010-10-07,-0.010750365,-0.0030468511,0.00884916,0.0033530735,0.007703514,0.008596038100660145
2010-10-08,-0.002756866,0.00535011,0.008307284,0.0031477488,0.008106976,0.00873390243045266
2010-10-11,0.005294417,-0.0069505568,0.0076657175,0.0029046503,-0.012244973,0.007767877542815678
2010-10-12,-0.007352796,0.024111303,0.008564429,0.0032451851,0.031464096,0.008075026535386207
2010-10-13,0.023206286,-0.009720771,0.009003684,0.003411625,-0.032927055,0.009132860567025652
2010-10-14,-0.009112732,-0.01871854,0.00997493,0.0037796441,-0.009605809,0.009344015808611777
2010-10-15,-0.018742411,0.003400245,0.010659451,0.004039019,0.022142654,0.01036807501616038
2010-10-18,0.002191406,-0.009092005,0.009488299,0.0035952525,-0.011283411,0.009786707007107306
2010-10-19,-0.008039271,-0.007376912,0.009830974,0.003725097,0.0006623588,0.00993073919958307
