asset_id,count,corr,mae,rmse,qlike,resid_mean,resid_std,sq_lag1_corr
ICICIBANK,347,0.5933907779359255,0.0037811771142551467,0.004581489031675285,-7.013079039857734,0.08436975995899737,1.0034511577949974,0.055510240416444284
IDEA,0,,,,,,,
IDFC,0,,,,,,,
INDUSINDBK,347,0.7137317167479159,0.005474207320274726,0.0069263573207448,-6.55721539325423,-0.050492343088351335,1.1698785168665955,0.13398863027336527
INFOSYSTCH,0,,,,,,,
INFRATEL,347,0.4181101405133277,0.007969940352315345,0.012384104726152863,-6.033066212362876,-0.03466520151206073,1.336489525139962,0.21556181766810806
INFY,347,0.2682387585143459,0.004522543953414952,0.007434929250031695,-7.087009508698925,0.005432087090248869,1.1308555485231422,-0.01274083337046088
IOC,347,0.518009139678053,0.004930646139967338,0.008036524057959559,-6.510895423104423,-0.04604297426055724,1.140870571455207,0.22959562190240346
ITC,347,0.4634660701095432,0.0029242221421699015,0.0034547791070285716,-7.606100437989566,-0.022419541118368417,0.9046990746256115,-0.10298081114730727
JINDALSTEL,0,,,,,,,
JPASSOCIAT,0,,,,,,,
JSWSTEEL,181,0.6694939573632748,0.003813930277748661,0.004548871417938015,-6.446024215578449,-0.029119699309136923,1.177687448614833,-0.05109769048384151
KOTAKBANK,347,0.4812651859820747,0.003568802654249352,0.004484236201344257,-7.353221581255722,0.02652179449299908,0.9666806664682399,0.28175557544304775
LT,347,0.4283094604109174,0.003737933415737035,0.004836687280499295,-7.373951161596957,-0.006205435306854805,0.9624917067675788,0.14773613407846012
LUPIN,27,-0.013695840184818366,0.004534554495303719,0.004793850861418323,-6.549504371104468,-0.09091046557793842,1.1735978500260507,0.008078332726751219
M&M,347,0.5948438885648456,0.004072080068397591,0.00500409828338298,-6.945416833588133,-0.09210165627987944,1.042109148588547,0.030913111951344153
MARUTI,347,0.626859196745933,0.0033819381555579924,0.004325287119487127,-6.9488003994616445,-0.054688224480799054,1.0708352740481129,0.009593257620513641
MCDOWELL-N,0,,,,,,,
NESTLEIND,0,,,,,,,
NMDC,0,,,,,,,
NTPC,347,-0.07387811415896456,0.003759571180681588,0.004721981989626218,-7.373030612828192,-0.02414528997545227,0.9678642450472525,0.1754602853685791
ONGC,347,0.3153013174499263,0.004622357999449676,0.006648560307663075,-6.810050369101969,-0.037996389848915,1.0986564722386731,0.04091751760983718
PNB,0,,,,,,,
